Automating Service Provider Networks with Model-driven Programmability,https://www.pluralsight.com/courses/service-provider-networks-model-driven-programmability-automating-cert,12-Jun-24,20m6c4,Demo: Reviewing a Streaming Telemetry Service,how to design a Cisco Network Services Orchestrator (NSO) service with a custom YANG model and corresponding IOS-XE/IOS-XR XML templates
Automating Cisco Endpoint Security Solutions Using APIs,https://www.pluralsight.com/courses/automating-cisco-endpoint-security-solutions-using-apis,19-Jun-24,21m4c5,Demo: Exploring Domains in Detail Using the Investigate API,how to check on malicious domains using the Cisco Umbrella Investigate API via a Python script
Automating Networks with Python,https://www.pluralsight.com/courses/automating-networks-python,26-Jun-24,22m7c5,Demo: Storing VRF Configurations using NETCONF and Nornir,how to combine the Nornir automation framework with NETCONF to manage network devices using model-driven programmability
Implementing Seamless MPLS and Carrier Supporting Carrier,https://www.pluralsight.com/courses/implementing-seamless-mpls-carrier-supporting-cert,3-Jul-24,23m3c4,Demo: Configuring and Validating L3VPN Services,how to configure MPLS layer-3 VPNs across a massive-scale Seamless MPLS (aka Unified MPLS) network
Cisco Advanced Routing: Leaf/Spine Data Centers,https://www.pluralsight.com/courses/cisco-advanced-routing-leaf-spine-data-centers,10-Jul-24,24m4c2,Demo: Stub Area Configuration and Traffic Engineering,how to configure OSPF stub areas to customize/steer traffic flows with minimal effort
Protocol Deep Dive: FTP and Its Variants,https://www.pluralsight.com/courses/protocol-deep-dive-ftp-variants,17-Jul-24,25m2c5,Analysis: Active FTP Control Session Setup,"the Wireshark structure of a File Transfer Protocol (FTP) control session, running in active mode"
Data Communications: The Big Picture,https://www.pluralsight.com/courses/data-communications-big-picture,24-Jul-24,26m4c4,Fifth Generation Cellular (5G) Architecture,an executive-level summary of the 5th generation (5G) cellular architectural components
Managing Cisco Products Using Advanced API-based Methods,https://www.pluralsight.com/courses/managing-cisco-products-advanced-api-methods,31-Jul-24,27m5c6,Demo: Webhook Processing and Interactive Bot Testing,"how to interact with a Cisco WebEx Teams chatbot via Flask (written in Python), then delete the webhook to clean up"
Automating Cisco SD-WAN Operations Using APIs,https://www.pluralsight.com/courses/automating-cisco-sd-wan-operations-using-apis,7-Aug-24,28m4c3,"Demo: Building vSmart Site, VPN, and SLA Objects",how to create a variety of Cisco SD-WAN policy objects via the vManage REST API using Python
Designing QoS for IP and MPLS Network,https://www.pluralsight.com/courses/designing-qos-ip-mpls-networks,14-Aug-24,29m2c4,Mapping Common Applications to DSCP Values,the RFC4594-recommended DSCP markings for DiffServ per hop behavior (PHB) actions
Cisco Meraki Fundamentals,https://www.pluralsight.com/courses/cisco-meraki-fundamentals,21-Aug-24,30m4c4,Demo: Building a WPA2 Enterprise SSID for Sales,how to create a new Cisco Meraki SSID using WPA2 enterprise (802.1x authentication)
Consuming Cisco APIs and Understanding Application DevOps,https://www.pluralsight.com/courses/consuming-cisco-apis-understanding-application-devops,28-Aug-24,31m5c4,Demo: Real-life TDD by Writing Unit Tests with pytest,how to implement test driven development (TDD) using Python's pytest package
Managing Cisco Networks via Infrastructure as Code,https://www.pluralsight.com/courses/managing-cisco-networks-infrastructure-as-code,4-Sep-24,32m6c3,Demo: Collecting Cisco IOS-XE DHCP Pools via RESTCONF,"how to leverage the Cisco IOS-XE native YANG models, combined with RESTCONF, to configure DHCP pools"
Automating Cisco Security Management Solutions Using APIs,https://www.pluralsight.com/courses/automating-cisco-security-management-solutions-apis,11-Sep-24,33m2c8,Demo: Collecting Security Telemetry via pxGrid Websockets,how to interface with the Cisco Identity Services Engine (ISE) pxGrid websocket service to collect live RADIUS logs
Cisco Advanced Routing: Enterprise Networks,https://www.pluralsight.com/courses/cisco-advanced-routing-enterprise-networks,18-Sep-24,34m6c5,Demo: Enabling BFD on the Data Center Uplinks,how to implement BFD combined with EIGRP for fast failover in a campus environment
Getting Started with Software Development Using Cisco DevNet,https://www.pluralsight.com/courses/getting-started-software-development-cisco-devnet,25-Sep-24,35m2c8,Demo: Homemade Observer Pattern Code Review,how to implement the observer software design pattern using a simple financial accounting example
Automating Cisco Meraki Operations Using APIs,https://www.pluralsight.com/courses/automating-cisco-meraki-operations-using-apis,2-Oct-24,36m5c6,Demo: Building and Testing Webhooks via Meraki API,how to configure and test Cisco Meraki webhooks using free/low-cost third-party webhook receiver services
Automating Cisco ASA and Firepower Policies Using APIs,https://www.pluralsight.com/courses/automating-cisco-asa-firepower-policies-using-apis,9-Oct-24,37m4c3,Demo: Creating and Deleting FTD Access Rules,"how to define, configure, and delete Firepower Threat Defense (FTD) policy rules via the REST API using Python"
